from,to,weight
over,the,1.0
the,place,1.0
place,i,1.0
i,see,1.0
see,them,1.0
them,i,1.0
i,talk,1.0
talk,to,1.0
to,them,1.0
them,i,1.0
i,hug,1.0
hug,them,1.0
them,i,1.0
i,hold,1.0
hold,them,1.0
them,they,1.0
they,are,1.0
are,all,1.0
all,over,1.0
over,the,1.0
the,place,1.0
congress,which,1.0
which,has,1.0
has,been,1.0
been,deadlocked,1.0
deadlocked,for,1.0
for,years,1.0
years,and,1.0
and,virtually,1.0
virtually,unable,1.0
unable,to,1.0
to,deal,1.0
deal,with,1.0
with,any,1.0
any,of,1.0
of,our,1.0
our,most,1.0
most,pressing,1.0
pressing,domestic,1.0
domestic,problems,1.0
problems,or,1.0
or,even,1.0
even,the,1.0
the,most,1.0
most,basic,1.0
basic,ones,1.0
ones,such,1.0
such,as,1.0
as,passing,1.0
passing,a,1.0
a,budget,1.0
budget,think,1.0
think,of,1.0
of,it,1.0
it,a,1.0
a,little,1.0
little,thing,1.0
thing,like,1.0
like,passing,1.0
passing,the,1.0
the,budget,1.0
budget,they,1.0
they,dont,1.0
dont,even,1.0
even,have,1.0
have,a,1.0
a,clue,1.0
meanwhile,the,1.0
the,bedrock,1.0
bedrock,of,1.0
of,this,1.0
this,countrythe,1.0
countrythe,middle,1.0
middle,classand,1.0
classand,those,1.0
those,million,1.0
million,americans,1.0
americans,stuck,1.0
stuck,in,1.0
in,poverty,1.0
poverty,have,1.0
have,seen,1.0
seen,their,1.0
their,incomes,1.0
incomes,decline,1.0
decline,over,1.0
over,the,1.0
the,past,1.0
past,years,1.0
years,understandably,1.0
understandably,their,1.0
their,disenchantment,1.0
disenchantment,and,1.0
and,frustration,1.0
frustration,at,1.0
at,whats,1.0
whats,happening,1.0
happening,grows,1.0
grows,every,1.0
every,day,1.0
day,and,1.0
and,it,1.0
it,gets,1.0
gets,worse,1.0
worse,and,1.0
and,worse,1.0
worse,and,1.0
and,worse,1.0
and,even,1.0
even,our,1.0
our,lawyers,1.0
lawyers,and,1.0
and,judges,1.0
judges,the,1.0
the,reflective,1.0
reflective,wise,1.0
wise,men,1.0
have,been,1.0
been,stepping,1.0
stepping,all,1.0
all,over,1.0
over,the,1.0
the,us,1.0
us,constitution,1.0
constitution,the,1.0
the,bulwark,1.0
bulwark,of,1.0
of,our,1.0
our,democracy,1.0
democracy,they,1.0
they,have,1.0
have,recklessly,1.0
recklessly,appointed,1.0
appointed,themselves,1.0
themselves,to,1.0
to,be,1.0
be,policy,1.0
policy,makers,1.0
makers,because,1.0
because,our,1.0
our,actual,1.0
actual,elected,1.0
elected,officials,1.0
officials,are,1.0
are,paralyzed,1.0
paralyzed,by,1.0
by,partisanship,1.0
partisanship,they,1.0
they,cant,1.0
cant,move,1.0
move,they,1.0
they,cant,1.0
cant,act,1.0
act,they,1.0
they,are,1.0
are,totally,1.0
totally,impotent,1.0
as,for,1.0
for,the,1.0
the,presidency,1.0
presidency,and,1.0
and,the,1.0
the,executive,1.0
executive,branch,1.0
branch,the,1.0
the,incompetence,1.0
incompetence,is,1.0
is,beyond,1.0
beyond,belief,1.0
as,i,1.0
i,write,1.0
write,this,1.0
this,russian,1.0
russian,president,1.0
president,vladimir,1.0
vladimir,putin,1.0
putin,is,1.0
is,totally,1.0
totally,outmaneuvering,1.0
outmaneuvering,our,1.0
our,president,1.0
president,by,1.0
by,putting,1.0
putting,together,1.0
together,a,1.0
a,coalition,1.0
coalition,in,1.0
in,syria,1.0
syria,that,1.0
that,will,1.0
will,make,1.0
make,putin,1.0
putin,the,1.0
the,only,1.0
only,effective,1.0
effective,leader,1.0
leader,in,1.0
in,the,1.0
the,world,1.0
world,he,1.0
he,and,1.0
and,his,1.0
his,alliesmost,1.0
alliesmost,notably,1.0
notably,iranhave,1.0
iranhave,positioned,1.0
positioned,themselves,1.0
themselves,exactly,1.0
exactly,where,1.0
where,president,1.0
president,obama,1.0
obama,and,1.0
and,our,1.0
our,military,1.0
military,have,1.0
have,failed,1.0
failed,miserably,1.0
miserably,for,1.0
for,years,1.0
years,they,1.0
they,are,1.0
are,total,1.0
total,failures,1.0
failures,they,1.0
they,are,1.0
are,not,1.0
not,leaders,1.0
leaders,we,1.0
we,are,1.0
are,no,1.0
no,longer,1.0
longer,a,1.0
a,leader,1.0
leader,putin,1.0
putin,has,1.0
has,become,1.0
become,the,1.0
the,leader,1.0
leader,and,1.0
and,its,1.0
its,an,1.0
an,embarrassment,1.0
embarrassment,to,1.0
to,our,1.0
our,country,1.0
weve,wasted,1.0
wasted,literally,1.0
literally,trillions,1.0
trillions,of,1.0
of,dollars,1.0
dollars,in,1.0
in,the,1.0
the,middle,1.0
middle,east,1.0
east,with,1.0
with,virtually,1.0
virtually,nothing,1.0
nothing,to,1.0
to,show,1.0
show,for,1.0
for,it,1.0
it,except,1.0
except,for,1.0
for,alienating,1.0
alienating,our,1.0
our,best,1.0
best,ally,1.0
ally,israel,1.0
israel,to,1.0
to,make,1.0
make,matters,1.0
matters,worse,1.0
worse,weve,1.0
weve,negotiated,1.0
negotiated,a,1.0
a,worthless,1.0
worthless,and,1.0
and,costly,1.0
costly,nuclear,1.0
nuclear,treaty,1.0
treaty,with,1.0
with,iran,1.0
iran,now,1.0
now,russias,1.0
russias,best,1.0
best,friend,1.0
friend,on,1.0
on,the,1.0
the,supposition,1.0
supposition,that,1.0
that,it,1.0
it,will,1.0
will,lead,1.0
lead,to,1.0
to,greater,1.0
greater,harmony,1.0
harmony,and,1.0
and,world,1.0
world,peace,1.0
peace,which,1.0
which,it,1.0
it,wont,1.0
wont,it,1.0
it,will,1.0
will,lead,1.0
lead,to,1.0
to,just,1.0
just,the,1.0
the,opposite,1.0
the,idea,1.0
idea,of,1.0
of,american,1.0
american,greatness,1.0
greatness,of,1.0
of,our,1.0
our,country,1.0
country,as,1.0
as,the,1.0
the,leader,1.0
leader,of,1.0
of,the,1.0
the,free,1.0
free,and,1.0
and,unfree,1.0
unfree,world,1.0
world,has,1.0
has,vanished,1.0
despite,all,1.0
all,of,1.0
of,these,1.0
these,challengesand,1.0
challengesand,actually,1.0
actually,because,1.0
because,of,1.0
of,the,1.0
the,challengesi,1.0
challengesi,decided,1.0
decided,to,1.0
to,do,1.0
do,something,1.0
something,about,1.0
about,it,1.0
it,i,1.0
i,couldnt,1.0
couldnt,stand,1.0
stand,to,1.0
to,see,1.0
see,what,1.0
what,was,1.0
was,happening,1.0
happening,to,1.0
to,our,1.0
our,great,1.0
great,country,1.0
country,this,1.0
this,mess,1.0
mess,calls,1.0
calls,for,1.0
for,leadership,1.0
leadership,in,1.0
in,the,1.0
the,worst,1.0
worst,way,1.0
way,it,1.0
it,needs,1.0
needs,someone,1.0
someone,with,1.0
with,common,1.0
common,sense,1.0
sense,and,1.0
and,business,1.0
business,acumen,1.0
acumen,someone,1.0
someone,who,1.0
who,can,1.0
can,truly,1.0
truly,lead,1.0
lead,america,1.0
america,back,1.0
back,to,1.0
to,what,1.0
what,has,1.0
has,made,1.0
made,us,1.0
us,great,1.0
great,in,1.0
in,the,1.0
the,past,1.0
we,need,1.0
need,someone,1.0
someone,with,1.0
with,a,1.0
a,proven,1.0
proven,track,1.0
track,record,1.0
record,in,1.0
in,business,1.0
business,who,1.0
who,understands,1.0
understands,greatness,1.0
greatness,someone,1.0
someone,who,1.0
who,can,1.0
can,rally,1.0
rally,us,1.0
us,to,1.0
to,the,1.0
the,standard,1.0
standard,of,1.0
of,excellence,1.0
excellence,we,1.0
we,once,1.0
once,epitomized,1.0
epitomized,and,1.0
and,explain,1.0
explain,what,1.0
what,needs,1.0
needs,to,1.0
to,be,1.0
be,done,1.0
when,i,1.0
i,started,1.0
started,speaking,1.0
speaking,out,1.0
out,i,1.0
i,had,1.0
had,no,1.0
no,idea,1.0
idea,what,1.0
what,the,1.0
the,reaction,1.0
reaction,would,1.0
would,be,1.0
be,i,1.0
i,know,1.0
know,im,1.0
im,a,1.0
a,great,1.0
great,builder,1.0
builder,ive,1.0
ive,built,1.0
built,buildings,1.0
buildings,all,1.0
all,over,1.0
over,the,1.0
the,world,1.0
world,ive,1.0
ive,had,1.0
had,tremendous,1.0
tremendous,success,1.0
success,but,1.0
but,i,1.0
i,hadnt,1.0
hadnt,fully,1.0
fully,exposed,1.0
exposed,my,1.0
my,political,1.0
political,thoughts,1.0
thoughts,and,1.0
and,ideas,1.0
ideas,to,1.0
to,restore,1.0
restore,americas,1.0
americas,greatness,1.0
i,also,1.0
also,knew,1.0
knew,that,1.0
that,the,1.0
the,trump,1.0
trump,brand,1.0
brand,is,1.0
is,one,1.0
one,of,1.0
of,the,1.0
the,worlds,1.0
worlds,great,1.0
great,icons,1.0
icons,of,1.0
of,quality,1.0
quality,and,1.0
and,excellence,1.0
excellence,everybody,1.0
everybody,talks,1.0
talks,about,1.0
about,it,1.0
it,everybody,1.0
everybody,knows,1.0
knows,about,1.0
about,it,1.0
it,its,1.0
its,very,1.0
very,very,1.0
very,special,1.0
special,im,1.0
im,very,1.0
very,proud,1.0
proud,of,1.0
of,it,1.0
it,our,1.0
our,buildings,1.0
buildings,and,1.0
and,resorts,1.0
resorts,now,1.0
now,stand,1.0
stand,very,1.0
very,proudly,1.0
proudly,and,1.0
and,beautifully,1.0
beautifully,all,1.0
all,over,1.0
over,the,1.0
the,united,1.0
united,states,1.0
states,and,1.0
and,in,1.0
in,many,1.0
many,other,1.0
other,countries,1.0
i,started,1.0
started,with,1.0
with,the,1.0
the,issue,1.0
issue,of,1.0
of,illegal,1.0
illegal,immigration,1.0
immigration,and,1.0
and,proposed,1.0
proposed,building,1.0
building,a,1.0
a,major,1.0
major,wall,1.0
wall,that,1.0
that,would,1.0
would,be,1.0
be,very,1.0
very,high,1.0
high,and,1.0
and,completely,1.0
completely,impervious,1.0
impervious,to,1.0
to,the,1.0
the,flood,1.0
flood,of,1.0
of,immigrants,1.0
immigrants,who,1.0
who,we,1.0
we,dont,1.0
dont,want,1.0
want,or,1.0
or,need,1.0
need,here,1.0
here,illegally,1.0
illegally,we,1.0
we,love,1.0
love,people,1.0
people,coming,1.0
coming,in,1.0
in,but,1.0
but,not,1.0
not,when,1.0
when,its,1.0
its,done,1.0
done,illegally,1.0
suddenly,americans,1.0
americans,started,1.0
started,to,1.0
to,wake,1.0
wake,up,1.0
up,to,1.0
to,what,1.0
what,was,1.0
was,going,1.0
going,on,1.0
on,with,1.0
with,regard,1.0
regard,to,1.0
to,illegal,1.0
illegal,immigration,1.0
immigration,despite,1.0
despite,the,1.0
the,large,1.0
large,number,1.0
number,of,1.0
of,candidates,1.0
candidates,who,1.0
who,were,1.0
were,running,1.0
running,for,1.0
for,the,1.0
the,republican,1.0
republican,nomination,1.0
nomination,what,1.0
what,i,1.0
i,was,1.0
was,saying,1.0
saying,started,1.0
started,to,1.0
to,really,1.0
really,hit,1.0
hit,home,1.0
home,with,1.0
with,people,1.0
people,and,1.0
and,everybody,1.0
everybody,picked,1.0
picked,it,1.0
it,up,1.0
up,and,1.0
and,they,1.0
they,picked,1.0
picked,it,1.0
it,up,1.0
up,gladly,1.0
i,started,1.0
started,drawing,1.0
drawing,crowds,1.0
crowds,so,1.0
so,large,1.0
large,that,1.0
that,we,1.0
we,had,1.0
had,to,1.0
to,move,1.0
move,our,1.0
our,rallies,1.0
rallies,into,1.0
into,football,1.0
football,stadiums,1.0
stadiums,and,1.0
and,convention,1.0
convention,centers,1.0
centers,the,1.0
the,first,1.0
first,national,1.0
national,debate,1.0
debate,drew,1.0
drew,million,1.0
million,viewers,1.0
viewers,which,1.0
which,set,1.0
set,a,1.0
a,record,1.0
record,for,1.0
for,cable,1.0
cable,television,1.0
television,despite,1.0
despite,some,1.0
some,of,1.0
of,the,1.0
the,ridiculous,1.0
ridiculous,antagonistic,1.0
antagonistic,questionsor,1.0
questionsor,maybe,1.0
maybe,because,1.0
because,of,1.0
of,themi,1.0
themi,fought,1.0
fought,back,1.0
back,as,1.0
as,i,1.0
i,always,1.0
always,do,1.0
do,and,1.0
and,began,1.0
began,to,1.0
to,explain,1.0
explain,my,1.0
my,vision,1.0
vision,as,1.0
as,a,1.0
a,result,1.0
result,most,1.0
most,people,1.0
people,thought,1.0
thought,i,1.0
i,won,1.0
won,the,1.0
the,debate,1.0
people,were,1.0
were,applauding,1.0
applauding,all,1.0
all,of,1.0
of,a,1.0
a,sudden,1.0
sudden,people,1.0
people,who,1.0
who,had,1.0
had,never,1.0
never,cared,1.0
cared,about,1.0
about,elections,1.0
elections,or,1.0
or,never,1.0
never,voted,1.0
voted,were,1.0
were,rushing,1.0
rushing,to,1.0
to,our,1.0
our,rallies,1.0
rallies,the,1.0
the,rallies,1.0
rallies,became,1.0
became,massive,1.0
massive,the,1.0
the,crowds,1.0
crowds,were,1.0
were,unbelievable,1.0
unbelievable,the,1.0
the,enthusiasm,1.0
enthusiasm,was,1.0
was,based,1.0
based,on,1.0
on,pure,1.0
pure,love,1.0
love,and,1.0
and,love,1.0
love,of,1.0
of,what,1.0
what,we,1.0
we,were,1.0
were,doing,1.0
the,media,1.0
media,the,1.0
the,politicians,1.0
politicians,and,1.0
and,the,1.0
the,so,1.0
so,called,1.0
called,leaders,1.0
leaders,of,1.0
of,our,1.0
our,country,1.0
country,reacted,1.0
reacted,in,1.0
in,horror,1.0
