Source,Target,Weight

it,will,1

will,happen,1

our,best,1

best,days,1

days,still,1

still,lie,1

lie,ahead,1

ahead,there,1

there,is,1

is,so,1

so,much,1

much,untapped,1

untapped,greatness,1

greatness,in,1

in,our,1

our,country,1

country,were,1

were,rich,1

rich,in,1

in,natural,1

natural,resources,1

resources,and,1

and,were,1

were,rich,1

rich,in,1

in,human,1

human,talent,1

enjoy,this,1

this,bookand,1

bookand,together,1

together,lets,1

lets,make,1

make,america,1

america,great,1

great,again,1

winning,again,1

america,needs,1

needs,to,1

to,start,1

start,winning,1

winning,again,1

nobody,likes,1

likes,a,1

a,loser,1

loser,and,1

and,nobody,1

nobody,likes,1

likes,to,1

to,be,1

be,bullied,1

bullied,yet,1

yet,here,1

here,we,1

we,stand,1

stand,today,1

today,the,1

the,greatest,1

greatest,superpower,1

superpower,on,1

on,earth,1

earth,and,1

and,everyone,1

everyone,is,1

is,eating,1

eating,our,1

our,lunch,1

lunch,thats,1

thats,not,1

not,winning,1

we,have,1

have,a,1

a,president,1

president,who,1

who,tries,1

tries,to,1

to,get,1

get,tough,1

tough,and,1

and,draw,1

draw,a,1

a,line,1

line,in,1

in,the,1

the,sand,1

sand,but,1

but,when,1

when,that,1

that,line,1

line,gets,1

gets,crossed,1

crossed,there,1

there,are,1

are,no,1

no,repercussions,1

and,when,1

when,we,1

we,try,1

try,to,1

to,negotiate,1

negotiate,with,1

with,foreign,1

foreign,countries,1

countries,we,1

we,dont,1

dont,stand,1

stand,up,1

up,we,1

we,dont,1

dont,threaten,1

threaten,to,1

to,walk,1

walk,away,1

away,and,1

and,more,1

more,important,1

important,we,1

we,dont,1

dont,walk,1

walk,away,1

away,we,1

we,make,1

make,concession,1

concession,after,1

after,concession,1

concession,thats,1

thats,not,1

not,winning,1

if,i,1

i,ran,1

ran,my,1

my,business,1

business,that,1

that,way,1

way,id,1

id,fire,1

fire,myself,1

take,one,1

one,of,1

of,the,1

the,worst,1

worst,agreements,1

agreements,in,1

in,our,1

our,historythe,1

historythe,nuclear,1

nuclear,treaty,1

treaty,with,1

with,iranwhich,1

iranwhich,john,1

john,kerry,1

kerry,negotiated,1

negotiated,and,1

and,president,1

president,obama,1

obama,rammed,1

rammed,through,1

through,and,1

and,around,1

around,congress,1

congress,or,1

or,rather,1

rather,he,1

he,convinced,1

convinced,his,1

his,party,1

party,to,1

to,support,1

support,it,1

it,and,1

and,filibuster,1

filibuster,any,1

any,debate,1

debate,or,1

or,vote,1

vote,on,1

on,it,1

it,this,1

this,is,1

is,probably,1

probably,the,1

the,most,1

most,important,1

important,treaty,1

treaty,of,1

of,our,1

our,time,1

time,and,1

and,our,1

our,very,1

very,stupid,1

stupid,leaders,1

leaders,in,1

in,washington,1

washington,dc,1

dc,couldnt,1

couldnt,even,1

even,bring,1

bring,themselves,1

themselves,to,1

to,hold,1

hold,a,1

a,discussion,1

discussion,and,1

and,vote,1

vote,on,1

on,it,1

ronald,reagan,1

reagan,said,1

said,trust,1

trust,but,1

